视频标题,视频作者,网页链接,主题,播放量,点赞量,硬币量,收藏数
我是一只龙兔兔，抓我来碰好运气！,哔哩哔哩弹幕网,https://b23.tv/BV1T84y1h7PH,短片·手书·配音,3186605,74575,6501,9581
高中生用全部积蓄为自己最爱的战地拍摄了一部短片《不可测的明天》,某少前菜鸡指挥官,https://b23.tv/BV1p24y1h7Hi,小剧场,1537425,192076,95656,31793
我 以 为 只 是 吃 饭,TES-Rookie,https://b23.tv/BV1jR4y1a77W,电子竞技,1595619,106541,57404,19836
特仑苏新春钜献《更好的2023》,特仑苏官方账号,https://b23.tv/BV1cY4y1f7vP,小剧场,4504736,37290,3721,4425
【兔限皮肤第五弹】炽霜斩山，诸犍霸气上阵！——李信-山海·炽霜斩来啦！,王者荣耀,https://b23.tv/BV1qK411r7cf,电子竞技,2965274,99851,19015,12999
【春节贺岁片】拐角遇到真爱，也有可能是警察,大漠叔叔,https://b23.tv/BV1d84y187h1,小剧场,1465640,200336,197474,33639
张镇辉台球正经教学【6个不太建议使用的技巧】17.0版本,张镇辉台球教学,https://b23.tv/BV1wv4y117mi,运动综合,4536610,404017,9468,31522
史上最厕一月番？史上最乐一月番！2023一月新番开播吐槽！,瓶子君152,https://b23.tv/BV1A14y1g7PC,动漫杂谈,2484829,188590,54832,23538
满门忠烈,万事屋大磨头,https://b23.tv/BV1aR4y1276c,特摄,3240020,221911,10748,37505
冬季骑行东北，硬刚寒潮电量耗尽入住50元小旅馆，吃个铁锅炖舒服一下,徐云流浪中国,https://b23.tv/BV1d84y1h7VU,出行,2425911,137303,85119,8674
爱是一道柔光，如此美妙,vivo,https://b23.tv/BV1WK411C7b6,综合,3641790,29994,1643,3387
战鹰大小姐想让我告白？,暂离二度,https://b23.tv/BV1UY411Q7EU,鬼畜调教,1805781,127388,66190,31306
【warma】我阻止了地球末日！,Warma,https://b23.tv/BV1ZY4y1f79x,短片·手书·配音,3141889,410583,115216,92210
祝大家新春快乐！一起喝暴雪绿茶,网易招聘,https://b23.tv/BV1ux4y1g7SZ,搞笑,2337182,256365,30609,24005
(现实世界 vs 中二动漫) 不行了 中二病犯了！,星有野,https://b23.tv/BV1CD4y1W7u3,短片·手书·配音,6483574,466821,35374,73581
多音字都是咋来的？,安森垚,https://b23.tv/BV1fP4y1r71X,人文历史,2670127,304512,25952,46771
全网话题破80亿假背景的地方，它冬天是什么样子？经典重现！,疆域阿力木,https://b23.tv/BV1w84y187vU,三农,3445840,400078,24466,12670
鬼迷心窍的阳光房,罗兰朵女士,https://b23.tv/BV1UD4y1H7nK,家居房产,3726880,133666,11818,17490
【STN快报第七季02】EPIC管中国人叫爸爸的原因找到了，竟是因为孙子,STN工作室,https://b23.tv/BV16A411o7gF,单机游戏,1929418,138432,59572,18752
连这些也不是全国统一的？,粤知一二,https://b23.tv/BV1Ld4y157K8,搞笑,5338712,419425,7516,34775
在吗？你可以永远相信不知火🔥,河野华,https://b23.tv/BV1g3411o769,仿妆cos,3248343,308102,83211,84068
2023我的世界拜年纪,小潮院长,https://b23.tv/BV1a24y167fo,单机游戏,9402777,1056816,1365333,591721
🏮你被骗了，但是中国风🏮,哦呼w,https://b23.tv/BV1SD4y1J7uY,鬼畜调教,8030784,1408684,598367,436013
快拿这个视频去诈骗你们化学老师,根号六十四,https://b23.tv/BV1nG4y197jd,搞笑,7847531,930766,320508,347495
史上最离谱随机挑战！我们居然随机到去找邓超蹭饭！！！【第八期】,雨哥到处跑,https://b23.tv/BV1mx4y1M7m8,搞笑,14555602,1653032,967227,305835
它，今年春节档最“奇怪”的电影？,三代鹿人,https://b23.tv/BV1u84y177ui,影视杂谈,4423032,394095,194335,77063
【原神新春会】我不曾忘记 | 致旅行中的你,YuHChiliChill,https://b23.tv/BV1P24y1a7Lt,原创音乐,11059017,909020,1121408,696772
2023哔哩哔哩拜年纪,哔哩哔哩拜年纪,https://b23.tv/BV1zv4y117zo,综合,15213690,233734,148176,101457
离谱！强行寄生在朋友家一周，他们回来后家里变成了...,花少北丶,https://b23.tv/BV11R4y187Np,搞笑,4952167,486335,299450,95268
脸不疼？硬撑罢了！2022年度动画打脸大总结！【泛式】,泛式,https://b23.tv/BV1QM411q73e,动漫杂谈,3642763,390070,257593,83804
