视频标题,视频作者,网页链接,主题,播放量,点赞量,硬币量,收藏数
这才是我想要的浏览器！纯干货，建议收藏！！！,小宇Boi,https://b23.tv/BV1Es4y157mF,软件应用,7240366,647694,429541,1053737
炒作界的宗师是谁？【硬核狠人48】,小约翰可汗,https://b23.tv/BV1Fs4y1Z7fL,人文历史,4379349,263490,101670,40209
同一团队两次发现“室温超导体”？这事……保真吗？,量子位,https://b23.tv/BV1Wb411f7Es,科学科普,678521,15263,992,2067
宿舍大同  美美与共！,熬一耶ye,https://b23.tv/BV1ng4y1n7BW,搞笑,8361807,536418,10502,41387
当年最让我头疼的学生，如今又成了最让我头疼的老师,谭盐,https://b23.tv/BV1wj41137GH,短片·手书·配音,2194600,419796,41645,63012
《崩坏3》动画短片「毕业旅行」,崩坏3第一偶像爱酱,https://b23.tv/BV1Kj411g7Lu,短片·手书·配音,7154300,715975,908411,434902
《 阳 光 开 朗 睡 大 觉 》,龙大人不喷火,https://b23.tv/BV1Y54y1u77B,人力VOCALOID,3311156,493828,146020,142806
当我第十次尝试rap...但是鸡蛋鸭蛋,某幻君,https://b23.tv/BV1b24y1b7sS,原创音乐,2241285,194066,84014,92876
你们要的《阳光开朗大男孩》改国风,糖醋蛋黄,https://b23.tv/BV13L411f7tQ,原创音乐,3356814,512450,75724,148122
热门角落建筑师鉴定,无穷小亮的科普日常,https://b23.tv/BV1ZY4y117Vv,科学科普,3586302,331591,18758,33264
就你这样能有什么生意,田花花,https://b23.tv/BV1v54y1u7m1,动物二创,6423986,739667,33885,60438
超越终焉？主角成神！带你看崩坏3完结篇到底演了啥！「崩坏3剧情讲堂#14」,泛式,https://b23.tv/BV19N411F74Z,综合,1945702,174638,81562,57806
“请，好好地看着我”,宇崎学妹想要摇,https://b23.tv/BV1Sx4y1K7Gq,舞蹈综合,4741692,703405,188963,126283
【老番茄x翠花】我们毕业了！,翠花不太脆,https://b23.tv/BV1484y1P7Nx,原创音乐,1933609,244956,95447,78114
【全明星建房】废土庇护所,CSGO大茄子,https://b23.tv/BV1CT411v7e5,手机游戏,2036380,117411,11884,17069
当你被无罪释放 你看向唯一怀疑你的警察说：,大瑶同学remix,https://b23.tv/BV1sM4y1d7tV,搞笑,2802830,271226,10259,16207
Love yourself,扎根措B站号,https://b23.tv/BV1Cx4y1K7QL,音乐综合,3108538,306043,60707,22773
逐渐变成家长信任的样子【00后老师流水账】,仔灰灰,https://b23.tv/BV17Y41167nF,日常,4550275,272600,30344,32949
带tim去吃杭州最顶级的餐厅，没想到他带来了…【还愿挑战ep18-金沙厅】,王师傅和小毛毛,https://b23.tv/BV13Y41167Up,美食侦探,2271004,377664,140724,26195
主公，万不可废长立幼啊！,高级灵魂张斯瑞,https://b23.tv/BV1RY4y1C7Xu,三农,2948570,362751,46253,55535
大学生宿舍灯光秀～要被帅晕啦！！！,小民同学o,https://b23.tv/BV1iX4y1D7dW,手势·网红舞,2658396,444221,18546,92565
我不允许有人还没看过今年东京女孩的走秀！,会唱跳Rap的胖虎,https://b23.tv/BV1T24y1G7NT,时尚潮流,4295519,239970,75368,149732
这样的结局是万万没想到的,狈总,https://b23.tv/BV1iY4y117hy,搞笑,5582790,364369,4451,25688
你敢信这是中国队？我们做到了！国足U20击败沙特，防守反击没有错！,阿棍EHAZARD7,https://b23.tv/BV1b84y1P7nM,足球,756391,84604,4175,7432
这是身处黑暗的父亲，对迪希雅最好的保护吧！“你有我们梦寐以求的自由和善良”,小x文,https://b23.tv/BV1LM41177km,手机游戏,3011037,430508,40422,92063
大 学 生 诱 捕 器,MrCarbon碳先森,https://b23.tv/BV1fg4y177t3,搞笑,4617757,174008,5089,7497
请joejoe吃我独步天下的秘制蒜蓉海鲜大咖，他却在偷吃蒜蓉酱,小文哥吃吃吃,https://b23.tv/BV1TX4y1Q7oL,美食制作,1874222,223443,85138,22813
对于广袤星空的遐想，可以从一款游戏开始【Outer Wilds】,原野郎中,https://b23.tv/BV1as4y1o7Ry,单机游戏,1994336,272719,335971,141418
复盘我的30岁，28岁失业婚姻危机，曾经觉得自己很失败,老少女阿珂,https://b23.tv/BV1Gx4y1T7mf,日常,1838892,77627,44090,11635
巴黎时装周,陆仙人哦,https://b23.tv/BV1AL411y7bL,时尚潮流,898782,78471,1595,1512
谁教你这么剪的？！,倾世夭夭,https://b23.tv/BV1BT411v7pa,影视剪辑,3227790,177994,50614,46596
古装剧不拍古典美？我们自己来！小博主神还原中国绢人 蟠桃仙女,我是411,https://b23.tv/BV1n24y1G72i,穿搭,451101,75658,34456,12102
两年多终于找到了，18.5斤巨无霸皇帝蟹，我人都吃傻了,小文哥吃吃吃,https://b23.tv/BV1vX4y1D7hP,美食制作,2683022,291243,96704,18568
明日香的 1 2 天,尸菌菌qwq,https://b23.tv/BV1H54y1u7w7,仿妆cos,695894,54731,7970,20866
【卢克说】谈谈东风集团汽车大降价,卢克文工作室,https://b23.tv/BV1gx4y1T7YQ,热点,1442669,49448,10011,6762
用破烂给世界小姐做一件礼服,垫底辣孩,https://b23.tv/BV17s4y1L7YB,美妆护肤,1028304,140711,2306,9451
假如我的校园是一款RPG游戏！,四夕小田木已黑化,https://b23.tv/BV1E84y1A7z2,小剧场,8647265,1171639,250863,204048
【泛式/剧情MAD】你是我遥不可及的梦「𝒀𝒐𝒖 𝒂𝒓𝒆 𝒎𝒆𝒓𝒆𝒍𝒚 𝒂 𝑫𝒓𝒆𝒂𝒎」孤独摇滚,泛式,https://b23.tv/BV1xN411F7ne,MAD·AMV,2998529,473168,483104,223362
贱谍过家家（3）,小潮院长,https://b23.tv/BV1k54y1K7rQ,搞笑,10971780,647637,295552,167551
耗时3720小时，原神史上首位角色最高伤害诞生！巅峰无法被撼动，因已达到极限！,爱玩原神的敢敢,https://b23.tv/BV1fP411f7ZW,网络游戏,5223847,649402,177721,174180
这个动画是属于老鼠的青春,动画成君,https://b23.tv/BV1Rx4y1N7TF,短片·手书·配音,3769507,451267,441954,111404
【渐构】万字科普GPT4为何会颠覆现有工作流；为何你要关注微软Copilot、文心一言等大模型,YJango,https://b23.tv/BV1MY4y1R7EN,校园学习,2767423,187701,169564,199576
孩子，我怎样才能治愈你？,星有野,https://b23.tv/BV1n24y1g7g5,短片·手书·配音,4047055,515131,325140,130587
老薛说的对4536251,lele摆烂啦,https://b23.tv/BV1X84y1w7zq,音乐综合,6147125,643472,87058,84367
B站元老级难度！你能猜对这是哪个视频吗？,中国BOY超级大猩猩,https://b23.tv/BV1CY4y1y753,搞笑,2984455,264609,86515,45551
流浪两年半走遍半个中国，终于回到家乡，感觉真好,徐云流浪中国,https://b23.tv/BV19Y4y197tq,出行,2861903,257559,164311,23321
当我听了广东人的话去吃鸡…,盗月社食遇记,https://b23.tv/BV1Vx4y1N7Pt,美食侦探,4976108,531534,173888,50632
【原神动画MV】心之扉「Ici et ailleurs」,青空-AoiSora,https://b23.tv/BV1HT411a7GB,短片·手书·配音,1449731,340345,166017,119143
究极无敌跨国网恋奔现？最终我们居然......【首尔历险记1】,Henry的小木屋,https://b23.tv/BV18L411y7G1,日常,2623614,153138,122102,24078
【落叶逐火】CF-EX-1至8突袭 摆完挂机 简单好抄（明日方舟艾露猫的委托柜台）,萧然Q,https://b23.tv/BV1HT411r7RE,手机游戏,3052006,69149,59148,12031
周深献唱新海诚最新电影《铃芽之旅》同名中文主题曲,电影铃芽之旅,https://b23.tv/BV1AM411W7E5,MV,5472969,393185,219027,195770
为了说清楚牛是咋干饭的，给大家上个绝活《真·老原儿吃嫩草》,模型师老原儿,https://b23.tv/BV1ex4y1T7Wd,科学科普,1395681,95573,27152,27043
《明日方舟》危机合约新赛季「起源行动」宣传PV,明日方舟,https://b23.tv/BV15v4y1L7nB,手机游戏,2848706,228887,137820,58833
你随口交代的一句话，猫可以记好久…,亮亮也是酿酿,https://b23.tv/BV1nL411o7EG,喵星人,2428518,290916,103423,49515
【美人谱系05】奥斯卡影后杨紫琼！她的一生，就是妈的多重宇宙,切片计划,https://b23.tv/BV1rY4y1y7CA,影视杂谈,1061930,98598,73857,33720
重庆|突然的光,摄影师鬼迹,https://b23.tv/BV1qk4y1b7z6,日常,3965908,601910,59520,51951
骑上我心爱的小摩托，他永远不会堵车,呵呵哒不爱头头,https://b23.tv/BV1AX4y1f7aJ,汪星人,4494856,410908,15106,41602
“我该如何活着”,程墨INK,https://b23.tv/BV16P411f7ps,原创音乐,1876683,166329,65918,85264
【半佛】上帝都怕点外卖,硬核的半佛仙人,https://b23.tv/BV1As4y1V77K,财经商业,1871158,84893,2837,5467
林黛玉大闹天宫,小芃路子野,https://b23.tv/BV1Q84y1w7aB,搞笑,3563883,232571,43147,45584
穿女友的衣服去漫展,战辉,https://b23.tv/BV19X4y1S7Ai,搞笑,3825756,349078,7149,27553
辞 职 宣 传 片,是老胡没错,https://b23.tv/BV1nL411o7cs,搞笑,2994728,202284,72903,32541
假如四大名著买了合订本是一种什么体验,薛蟠的同学,https://b23.tv/BV1xM41147XB,影视剪辑,6977374,557294,203649,181965
我情绪跌宕起伏的一天,papi酱,https://b23.tv/BV1Mg4y1t7z5,搞笑,3648290,351572,15338,12388
我决定了，带日本媳妇回趟娘家！预计花销五万，日本消费这么高？,日本媳妇在山东农村,https://b23.tv/BV1E94y1F7cj,美食记录,1987252,200284,178576,11515
多种口味烤冷面，有你喜欢的吗？,Tiger西西,https://b23.tv/BV1rY4y1977w,美食制作,5233096,388369,10236,34885
当你的实力足够强大时,黑旗团队,https://b23.tv/BV1qL411C7rk,小剧场,3672442,186711,7223,10127
整治校园环境时的尴尬(太太太超级无敌真实),萧枭同学,https://b23.tv/BV13N411F7oh,搞笑,3287549,113113,2369,23961
用中国古籍测试外国人汉语水平,歪果仁研究协会,https://b23.tv/BV1eT411r7kt,日常,2865827,379562,7793,28444
觉得我更可怕，是吗,周老头呀,https://b23.tv/BV1uY411z7u9,仿妆cos,2101881,275224,11317,38667
【刘谦魔术课】 预测柯洁的棋步，可能吗？,刘谦,https://b23.tv/BV1QT411r76p,明星综合,2580820,182682,51714,21834
我们可以攀登所有 想攀登的高峰 【江苏百年女子图鉴】,阿时爱吃红烧肉,https://b23.tv/BV1So4y1z7c7,穿搭,777363,117441,11340,20042
我今天的身份是男明星,张津铭,https://b23.tv/BV1gL411y7JM,时尚潮流,1557712,163790,6181,7843
伊朗沙特为何复交？为什么在中国？美国怕了吗？,小王Albert,https://b23.tv/BV1ZX4y1Z7o3,人文历史,3572474,239450,123317,43791
果然最喜欢足球了,珩珩,https://b23.tv/BV15g4y1b7Bv,足球,1018290,44760,9505,9057
哦→啊→啊→诶↑诶↓啊↑啊↓,树深时见鹿dear,https://b23.tv/BV18k4y1h7wP,鬼畜调教,1567155,62044,16994,18384
#每周一拍 这是一个预谋了4年的视频。她肉眼可见地长大，我肉眼可见地变老，他肉眼可见地变圆...#怀孕#成长记录,雷胖子不是胖子,https://b23.tv/BV1q54y1M79z,亲子,5414621,579277,83851,68100
为什么你的衣服永远买不完？三个方法让你停止浪费不再内耗！,美鹿莎,https://b23.tv/BV1724y147HU,穿搭,554183,30318,8772,13869
【医案寻踪】一年不吃早饭的人现在怎么样了？让我们揭开一场隐瞒我们70年的健康骗局！,兔叭咯,https://b23.tv/BV1Zs4y1H7NV,科学科普,7682628,484007,337384,136678
我被禁言了2,杜海皇,https://b23.tv/BV1n24y1u7WR,搞笑,7839339,609759,306675,197385
⚡喵喵喵喵喵喵喵喵喵喵喵喵喵喵,幾加乘,https://b23.tv/BV1wg4y1t7j6,短片·手书·配音,8352775,779433,373073,265755
一群up主在城市玩共享位置捉迷藏！太可怕了！！【第二期】,中国BOY超级大猩猩,https://b23.tv/BV1KP411f7fc,搞笑,6405071,597288,241196,104612
【林肯公园 | B站首发】Numb (官方MV 4K修复版) - Linkin Park,LinkinPark,https://b23.tv/BV1Mm4y1k7We,MV,3462713,302718,199083,135092
漂泊两年多回到乡下，乡村生活也不错，想留在农村却很难,徐云流浪中国,https://b23.tv/BV1ob411d78A,出行,2191036,181236,95730,12352
MOREVFX「流浪地球2」视效花絮,MOREVFX,https://b23.tv/BV1hP411Z7Tc,预告·资讯,2202456,248323,285357,134730
对他使用新空间卡组吧【水无月菌】,水无月菌,https://b23.tv/BV1cL411r7Zn,桌游棋牌,2881896,233098,168655,42406
一千颗碎片！实拍魔刀千刃（上）！觉醒我们心中的热爱吧！,剑客范十三,https://b23.tv/BV14o4y1q777,运动综合,3189690,238312,91208,44433
用七百万笔画了一幅画。,圈圈没灵感,https://b23.tv/BV1W84y1w7Cc,绘画,3082408,350973,47362,53869
你最后一次看少儿频道是什么时候？,喜欢数码的陈同学,https://b23.tv/BV1984y1A7Dg,国产原创相关,5008173,867205,96610,172797
【袁娅维×万物起舞】人间CD机袁娅维倾情献唱，如梦声线演绎女魃墓前尘今生,梦幻西游电脑版,https://b23.tv/BV1JM411p7H9,MV,5961119,154031,80608,61292
⚡西 域 战 神⚡,还有一天就放假了,https://b23.tv/BV11c411E7ga,鬼畜调教,5822395,498796,164752,212238
楼梯扶手上的“神庙逃亡”,喵哉小茶馆,https://b23.tv/BV1JY4y1Q7fz,MAD·AMV,1838212,274802,22577,52026
宵宫放烟花之蹦迪神曲！参上！,Alxlc阿拉克斯,https://b23.tv/BV1sV4y197QP,原创音乐,1783400,385300,107965,110159
”这又是什么剪辑风格？酷毙了！⚡️“,Baka恶魔,https://b23.tv/BV1zv4y177G9,MAD·AMV,1448887,192860,84677,115169
生活小窍门,真子日记,https://b23.tv/BV18v4y1j7AQ,搞笑,8456552,607427,18855,51385
新番时光机！十年前的观众都在看什么？「2013年1月篇」泛式,泛式,https://b23.tv/BV1ws4y1p7k9,动漫杂谈,2068607,229998,92411,40581
三年之约！极致还原！《铃芽之旅》真人版！,特效小哥studio,https://b23.tv/BV1xk4y147oL,综合,4461891,369565,101444,92399
【4KHDR】老戴《生化危机4 重制版》【正式版】【无死亡】【硬核难度全流程攻略解说】,老戴在此,https://b23.tv/BV1SV4y1Q7ie,单机游戏,3368950,89461,64005,32163
80万赞已到，我去天上吃饭了朋友们！,盗月社食遇记,https://b23.tv/BV1dx4y1A7P3,日常,3503376,391418,199003,42585
挪威｜我在北极，邂逅了世界尽头的冷酷仙境 ｜Links 4K HDR,Linksphotograph,https://b23.tv/BV1ug4y1x7UD,出行,1537673,118093,65465,66612
风铃源于唐宋时期的「占风铎」，风吹玉振，静心宁神。寄相思，予祝愿。,彭南科,https://b23.tv/BV1aT411k7iX,手工,596446,153914,52414,34618
【全网首发】球王归来！梅西800球全记录！还记得你是从哪一球入坑的吗~,小白兔怕脏,https://b23.tv/BV19Y4y1U7Vd,足球,613896,76006,71615,54148
《明日方舟》危机合约新赛季「起源行动」宣传PV,明日方舟,https://b23.tv/BV15v4y1L7nB,手机游戏,2848706,228887,137820,58833
去海鲜市场钓鱼,旺仔有内涵,https://b23.tv/BV1rx4y1w7fP,搞笑,4500285,574357,74090,32986
总工时19天，用石料480方，用传统技术建造一座  石拱桥（全集）,彭传明pcm,https://b23.tv/BV1t84y1w7Ps,手工,1356628,131996,73882,10527
熊猫：长这么大都没受过这样的气！,猫后生,https://b23.tv/BV1xL411d7XW,动物二创,5668129,286089,14061,35836
《 豚 骨 拉 面 全 套 配 方 》,赖皮猴爱美食,https://b23.tv/BV19m4y1r7TV,美食制作,2024342,165536,126390,83684
终于到了！不带钱跨越半个中国，抵达北京！ 丨流浪 11,东尼ookii,https://b23.tv/BV19M4y1z714,出行,1819018,249858,167718,35554
"【危机合约】""起源行动""无名庇护所18镀层+日替全关卡攻略！摆完挂机+平民低配攻略合集！《明日方舟》|魔法Zc目录 难度18",魔法Zc目录,https://b23.tv/BV1G84y137P1,手机游戏,4544025,100118,59202,24610
品尝世界最酸酸物，胃酸系统今日奖励休息一天,张圣叹Yo,https://b23.tv/BV1g84y1w7Gn,美食测评,5146673,469267,80476,40800
《满江红》第一次在哔哩哔哩发作品啊。紧张！,小少焱的,https://b23.tv/BV1F24y1u7kY,原创音乐,2978218,423073,217822,129481
没有一只鸡能活着离开沈阳，上海老王实名推荐！【怎么这么值ep58-传说鸡架】,王师傅和小毛毛,https://b23.tv/BV1Tv4y1j77g,美食侦探,1696445,144218,60795,12950
真实版浣熊市：市民集体变异，医生挖出日本政府的阴谋,迷因水母,https://b23.tv/BV1bb411Z7AY,人文历史,2679707,266102,131614,89579
无限穿帮！当埃及up看《木乃伊》,埃及南希,https://b23.tv/BV12L411R7w9,影视杂谈,2722316,221069,103972,50810
❤️ 这 么 可 爱 真 是 抱 歉 ❤️,哦呼w,https://b23.tv/BV1yL411o7UK,鬼畜调教,1835930,185238,88944,43058
深度|| 欧洲为何没有“分久必合”？秦始皇“三功”如何奠基今日中国？,渤海小吏,https://b23.tv/BV1tL411d7dP,人文历史,2979537,154887,85772,55664
喂！你给我摇起来啊！！！,瑶生Y,https://b23.tv/BV1dP411d7HT,搞笑,4451491,644619,106030,77155
我愿来世做春风，温柔且自由,有只柯基叫可乐,https://b23.tv/BV1hv4y1775L,汪星人,3904364,413712,17337,58269
艾伦，这就是你想要的自由吗,貂蟬的腿毛,https://b23.tv/BV1MM4y1k7f2,综合,2950348,271087,56471,74610
我给我的牧羊犬买了一只羊，羊有了狗管理，狗有了工作,一只小九九丫,https://b23.tv/BV1fb411Z7aX,三农,1919465,68149,27795,16230
突击检查：外国人对中国有什么离谱问题,歪果仁研究协会,https://b23.tv/BV1ex4y1w7CD,日常,4854013,375334,4283,19195
省赛输了，摇一个,宇崎学妹想要摇,https://b23.tv/BV1Dm4y1r7M2,舞蹈综合,7166457,900115,88209,100727
大多数去职校学电竞的人都怎样了？这个视频给你答案！,敬汉卿,https://b23.tv/BV1T84y1w7ar,电子竞技,1916532,168565,70241,15911
今天爷爷给我看一件特殊的衣服,康康和爷爷,https://b23.tv/BV1No4y1B78S,穿搭,3629919,574259,48520,42626
无爱方可破情局 无情方可破全局,笔心无忧BX,https://b23.tv/BV1wM4y1k7j5,绘画,3041228,415971,16110,88258
在老师面前秀恩爱是一种什么体验,主持人yoyo酱,https://b23.tv/BV1mT41167uz,日常,1239287,114541,2040,3635
没有通稿！他们才是时尚圈的华人之光！,AHALOLO,https://b23.tv/BV1624y1x7mB,时尚潮流,253929,20095,1681,1109
挑战一个人还原《步步惊心》｜芝月步步惊心仿妆系列,芝月,https://b23.tv/BV1dL41167WU,仿妆cos,687189,64978,2379,4255
【何同学】我们做了一台中文打字机...,老师好我叫何同学,https://b23.tv/BV1Sk4y1471G,极客DIY,12332783,1674128,1454146,473991
狗是谁？（3）,小潮院长,https://b23.tv/BV1vN411K7e9,搞笑,11779122,765730,379940,239391
《上下五千年》带解析，建议逐帧观看～,小少焱的,https://b23.tv/BV1Rc41157go,原创音乐,6951308,860449,416702,631322
当北方人第一次走进广东村里的早茶店时...,盗月社食遇记,https://b23.tv/BV1PN411T7Pt,美食侦探,4373974,407894,236144,57603
英雄联盟：暗裔未来，甩葱歌！,LOL二哈,https://b23.tv/BV1AV4y1Q7sj,电子竞技,3283671,317814,125246,89343
你画你的我猜我的（3）,高斯Goh,https://b23.tv/BV1Zk4y147qs,桌游棋牌,4983329,322059,103121,66168
《明日方舟》2023「音律联觉-愚夜密函」先导预告,明日方舟,https://b23.tv/BV1CV4y1D77S,手机游戏,1996556,171407,55811,34919
我是新手，该买什么相机？从2k到4w，年度相机大盘点！,影视飓风,https://b23.tv/BV1tg4y1371e,数码,2171794,141202,73877,73224
听说我们不害怕，密室员工掏出了电锯...,老番茄,https://b23.tv/BV12M411u7AM,搞笑,3190481,287118,81307,42390
评分7.5！惊喜or拉胯？新海诚新作铃芽之旅Day1影评！,瓶子君152,https://b23.tv/BV1HM411g79r,动漫杂谈,2959018,224400,101798,43526
消防局如何点燃旧金山？【神奇组织05】,小约翰可汗,https://b23.tv/BV1Ug4y1W7KB,人文历史,3825063,263459,121990,39477
花3天做一碗面，居然只能卖10来块钱？,绵羊料理,https://b23.tv/BV1Rk4y1x7Vt,美食制作,4382613,335862,153383,38920
"【首次尝试""MV""编舞】 这波属实是起飞了",星有野,https://b23.tv/BV1zk4y147sT,短片·手书·配音,3664502,291423,30614,25257
康帅傅：我就是这被这破玩意卷死的,麟宣森,https://b23.tv/BV1kT411q7FQ,美食制作,4862950,250431,180197,31849
街头邀请陌生人撕标签,小岗同学,https://b23.tv/BV1Bh411V7KU,搞笑,3063643,692606,154402,107843
大臣是铃芽的隐喻？《铃芽之旅》深度解读，新海诚的灾难哲学与人情温暖,一镜电影,https://b23.tv/BV1Y84y137AC,影视杂谈,2522140,268227,167878,115609
10只龙虾熬一颗糖果 吃一口有多神奇？,阿彭彭阿,https://b23.tv/BV1mT411z77h,美食制作,3294752,254545,58160,20402
走100米就给500块！这些被百米路困住的人，把我看哭了 ......,滤镜粉碎机,https://b23.tv/BV14L411X7ys,社会,1765770,137076,78870,30778
【神里】⚡你能忍受王手的洗脑么⚡汪⚡,莉可Kurisu,https://b23.tv/BV1iX4y1d7oe,鬼畜调教,2845153,305377,73822,125595
在香港吃一碗香滑的蛇羹，餐桌紧挨着蛇箱,小可追太阳,https://b23.tv/BV17c41157wo,美食侦探,4153168,140734,2592,12772
几块破纸板能做出什么大片......卧槽？！？！,逗比的雀巢,https://b23.tv/BV1uo4y1x7zw,短片·手书·配音,2907814,381061,138502,70334
【杰克奥特曼｜再见了，乡秀树】百万级录音棚听《帰ってきたウルトラマン》杰克奥特曼主题曲【Hi-Res】,JLRS-jayfm,https://b23.tv/BV1Em4y167BA,音乐综合,828425,54012,23335,22691
【IGN】《塞尔达传说 王国之泪》实机演示,IGN中国,https://b23.tv/BV1oT411z7Hp,单机游戏,4390320,223814,120059,61868
微醺版《百年孤寂》,我只吃晚饭Mia,https://b23.tv/BV1gg4y1s7jN,翻唱,7270178,388334,177386,183713
【秋山】拖更一年，我把游戏带进现实，MC工作台极致还原,秋山黛西,https://b23.tv/BV1YT411z7p8,手工,1987070,230565,137287,59622
西游记里根本没有小白饼，难道我们都被骗了？,碧蝉衣,https://b23.tv/BV18X4y1o7AN,美食制作,2050832,111250,49384,15703
我在全中国到处认爷爷？,熊伟Sherwin,https://b23.tv/BV1PX4y1o742,手工,1568292,188783,39010,33162
一块石头能弹300次？慢放120倍，三分钟学会打水漂！,亿点点不一样,https://b23.tv/BV1px4y1A7E8,野生技能协会,7028146,233637,43809,302962
国服河蟹,D蚱蜢,https://b23.tv/BV1ZL411r7AP,搞笑,2031550,168284,10550,14775
糟糕，一年4000在动物园认养的黑猩猩，好像是个老六,超Carry的柴西,https://b23.tv/BV1hM411M74t,出行,1994013,101192,65752,10996
6年了 一路走来 终于到达埃菲尔铁塔,湖远行官方,https://b23.tv/BV1DX4y1d7nL,出行,1472033,251516,39166,19767
【精卫】完整版丨老子只是太想要份爱这有什么错啊？,折原露露,https://b23.tv/BV1Fc411j7yJ,翻唱,4135486,251311,114718,103877
最快赚钱世界纪录：6分钟赚24421金币！只需快这半秒就足够了！,布锅锅,https://b23.tv/BV1aY4y1Q7wv,电子竞技,2789697,216207,69915,20676
【淮秀帮】假如《狂飙》玩狼人杀（二）！,淮秀帮,https://b23.tv/BV1d84y1u7gB,搞笑,4238106,281829,56837,44933
在八分钟循环里，仿佛看到了我的明天,喜仔的世界,https://b23.tv/BV19M4y1m7H2,小剧场,1741962,95404,42266,59535
约好必鸽,嘞是唐孃孃,https://b23.tv/BV1Qo4y1s73s,搞笑,1339570,102203,942,3348
上镜丑？我研究了易梦玲拍照法️...发现90%模特竟然都这么拍！,一一只是黑猫,https://b23.tv/BV12L411Q7Pk,时尚潮流,1843812,87299,11268,98191
这玩意怎么吃？,Tiger西西,https://b23.tv/BV1Zh411g7kB,美食制作,2476411,177130,6079,6485
芬兰家人血战爆辣湘菜馆子辣到飙泪！一口剁椒一口酸豆角爽翻天！汤汁喝干净！奶茶上瘾到想马上去中国！,雨琪在芬兰,https://b23.tv/BV1AL411X7in,美食记录,1132967,75953,35802,5210
『从头看她』1920-2020，中国女性发型的百年变迁,朵朵花林,https://b23.tv/BV1qm4y1r7BB,时尚潮流,10996266,1417073,783551,389680
被告：真诚是我永远的必杀技,山口煮煮,https://b23.tv/BV1gg4y1G7Fx,小剧场,6554527,866196,55572,157306
“过来点，我保证不打你”,老番茄,https://b23.tv/BV1tN411N7jN,单机游戏,5217919,453564,276797,121919
“愿我们都能成为自己期待的样子”,HzW3,https://b23.tv/BV1aM411T7pF,绘画,4360201,1120033,156116,250361
有的人一直在长大，有的人却不会变老了,朱铁雄,https://b23.tv/BV1jm4y167fE,小剧场,5637019,731797,201441,144070
如果草太变成了尖叫鸡！[铃芽之旅],小天才树仔,https://b23.tv/BV1um4y167Ks,短片·手书·配音,4274179,461459,88816,107589
【全网最详】旅美熊猫究竟有没有被虐待？官方反复辟谣没人听？,爬行天下,https://b23.tv/BV1hs4y1U7gs,动物综合,5405884,491757,501644,165744
up主，你这看了个啥？？2023年1月新番完结吐槽大总结！【泛式】,泛式,https://b23.tv/BV1Bh411375J,动漫杂谈,3610000,342290,200712,68696
【何同学VLOG】为什么我们一期视频做了五个月...,何同学工作室,https://b23.tv/BV12h411u7DM,日常,4467436,425735,259994,62448
【蔚蓝档案】首曝PV——欢迎来到基沃托斯！,蔚蓝档案,https://b23.tv/BV11v4y1V7am,手机游戏,4295373,157661,34245,32984
最后这坑给我键盘都按废了！,老耗游戏,https://b23.tv/BV1vN411N73u,单机游戏,5739331,531879,28050,47780
2023年3月，人类终究走上了一条无法回头的路,老阳的奇妙电波,https://b23.tv/BV1VL411U7MU,科学科普,6535425,319667,81615,169508
【老奇】阴差阳错 撼动世界的游戏引擎,老奇好好奇,https://b23.tv/BV1Hk4y1q7Rz,科学科普,1817807,192359,222881,106252
在亲自测量一场网络骂战之后，我们找到了从中脱身的方法,我是EyeOpener,https://b23.tv/BV1uM411u7tN,人文历史,2268441,234654,134846,124239
【自制】我做了一种很新的 机 器 人！【硬核】,稚晖君,https://b23.tv/BV1Uh41137Th,极客DIY,2075523,241026,246023,60222
保证没P图！你吃过比这更大的吗？,绵羊料理,https://b23.tv/BV1DN411A7Fr,美食制作,6041453,486089,159254,69781
《小陈总 - 回 归 》,小陈总啊,https://b23.tv/BV1rL411m7Bt,小剧场,2144795,200232,61129,11896
假如穿越到古代你没钱花怎么办？这条视频看完你就赚了！！,南翔不爱吃饭,https://b23.tv/BV15c41157Kf,手工,7579818,449685,63342,103378
2分钟讲完《狂飙》高启强的一生，还没看的进来看看,惊奇动物园oopspark,https://b23.tv/BV1PT411B73G,短片·手书·配音,4615905,342678,93207,141463
官方整活儿【梦幻西游X福鼎白茶X太姥山景区】 茶旅宣传片《仙都梦茶》正式上线,紫颜-小仙紫,https://b23.tv/BV1LM4y1U74R,国风舞蹈,2082357,56081,4506,9129
耗时半年的呕心之作，带你跨越数万年，去了解神秘的非洲文明,周侃侃plus,https://b23.tv/BV1iN411P71T,人文历史,1700867,166407,115321,191586
一口气看完第三季！大帝的终生噩梦！《叶卡捷琳娜大帝》S3全,木鱼水心,https://b23.tv/BV1ws4y1S7kG,影视杂谈,1865722,220471,184816,36696
一个上班族转做美食博主了,papi酱,https://b23.tv/BV1Nh411g7Yp,搞笑,2949016,340937,41103,14433
《原神》3.6版本PV：「盛典与慧业」,原神,https://b23.tv/BV1Ds4y1J7n3,手机游戏,6388440,185120,37367,27853
爆肝479小时！手工打造中国非遗礼裙？？,小桑菜奈,https://b23.tv/BV1PV4y1D7L8,时尚潮流,1524506,214207,162789,56619
【危机合约#12】全网首杀 危机等级34 再赴起源,巅峰计划,https://b23.tv/BV1tc41157EC,手机游戏,1318689,146721,132663,54200
